import time: self [us] | cumulative | imported package
import time:       955 |       1142 |   django.contrib.staticfiles.finders
import time:       192 |       1333 | django.contrib.staticfiles.checks
import time:       589 |        589 | django.contrib.contenttypes.models
import time:       275 |        275 |   django.contrib.auth.password_validation
import time:       235 |        235 |   django.contrib.auth.hashers
import time:        89 |         89 |     django.db.backends.base.validation
import time:       196 |        196 |     django.db.backends.signals
import time:       102 |        102 |     django.utils.asyncio
import time:       366 |        752 |   django.db.backends.base.base
import time:        32 |         32 |   psycopg
import time:       201 |        201 |       psycopg2.errors
import time:      5768 |       5969 |     psycopg2._psycopg
import time:       169 |        169 |       psycopg2._json
import time:       906 |        906 |       psycopg2._range
import time:       669 |       1744 |     psycopg2.extensions
import time:       302 |       8013 |   psycopg2
import time:        30 |         30 |     psycopg
import time:       382 |        382 |     psycopg2.sql
import time:       213 |        213 |       psycopg2._ipaddress
import time:       826 |       1039 |     psycopg2.extras
import time:       317 |       1766 |   django.db.backends.postgresql.psycopg_any
import time:       198 |        198 |     django.db.backends.base.client
import time:       201 |        399 |   django.db.backends.postgresql.client
import time:       250 |        250 |     django.db.backends.base.creation
import time:       202 |        451 |   django.db.backends.postgresql.creation
import time:       679 |        679 |     django.db.backends.base.features
import time:       295 |        974 |   django.db.backends.postgresql.features
import time:       246 |        246 |     django.db.backends.base.introspection
import time:       304 |        549 |   django.db.backends.postgresql.introspection
import time:       661 |        661 |       django.db.models.sql.compiler
import time:       187 |        848 |     django.db.backends.postgresql.compiler
import time:       438 |       1285 |   django.db.backends.postgresql.operations
import time:       326 |        326 |       django.db.backends.ddl_references
import time:       460 |        786 |     django.db.backends.base.schema
import time:       270 |       1055 |   django.db.backends.postgresql.schema
import time:      1336 |      17117 | django.contrib.auth.base_user
import time:       232 |        232 | django.contrib.auth.validators
import time:       207 |        207 | django.utils.translation.reloader
import time:       275 |        275 | contest.validators
import time:       208 |        208 |   django.contrib.auth.tokens
import time:       255 |        255 |     django.contrib.sites
import time:       185 |        185 |     django.contrib.sites.requests
import time:       462 |        901 |   django.contrib.sites.shortcuts
import time:      1095 |       2204 | django.contrib.auth.forms
import time:       405 |        405 | django.contrib.contenttypes.fields
import time:       228 |        228 | django.contrib.contenttypes.forms
import time:        77 |         77 | django.core.cache.utils
import time:       306 |        306 | django.contrib.admin.views.main
import time:       178 |        178 | django.contrib.admin.templatetags.base
import time:       179 |        179 | django.contrib.contenttypes.views
import time:       215 |        215 | django.core.management.utils
import time:       165 |        165 |   django.db.migrations.optimizer
import time:       256 |        256 |       django.db.migrations.graph
import time:       342 |        342 |       django.db.migrations.recorder
import time:       242 |        839 |     django.db.migrations.loader
import time:       242 |       1081 |   django.db.migrations.questioner
import time:       541 |       1785 | django.db.migrations.autodetector
import time:       278 |        278 |   django.db.migrations.serializer
import time:       256 |        534 | django.db.migrations.writer
import time:       232 |        232 | django.core.management.sql
import time:       124 |        124 | django.db.migrations.executor
import time:       193 |        193 |   django.views.defaults
